id,first_name,second_name,team,name
624,Lewis,Bate,10,Lewis Bate
631,Jack,Jenkins,10,Jack Jenkins
221,James,Milner,11,James Milner
222,Jordan,Henderson,11,Jordan Henderson
223,Adrián,San Miguel del Castillo,11,Adrián San Miguel del Castillo
224,Joel,Matip,11,Joel Matip
225,Thiago,Alcántara do Nascimento,11,Thiago Alcántara do Nascimento
226,Xherdan,Shaqiri,11,Xherdan Shaqiri
227,Alex,Oxlade-Chamberlain,11,Alex Oxlade-Chamberlain
228,Roberto,Firmino,11,Roberto Firmino
229,Virgil,van Dijk,11,Virgil van Dijk
230,Sadio,Mané,11,Sadio Mané
231,Alisson,Ramses Becker,11,Alisson Ramses Becker
232,Fabio Henrique,Tavares,11,Fabio Henrique Tavares
233,Mohamed,Salah,11,Mohamed Salah
234,Andrew,Robertson,11,Andrew Robertson
235,Divock,Origi,11,Divock Origi
236,Takumi,Minamino,11,Takumi Minamino
237,Trent,Alexander-Arnold,11,Trent Alexander-Arnold
238,Joseph,Gomez,11,Joseph Gomez
239,Naby,Keita,11,Naby Keita
240,Diogo,Jota,11,Diogo Jota
241,Nathaniel,Phillips,11,Nathaniel Phillips
242,Caoimhin,Kelleher,11,Caoimhin Kelleher
243,Ibrahima,Konaté,11,Ibrahima Konaté
244,Curtis,Jones,11,Curtis Jones
245,Konstantinos,Tsimikas,11,Konstantinos Tsimikas
246,Neco,Williams,11,Neco Williams
247,Rhys,Williams,11,Rhys Williams
248,Ben,Davies,11,Ben Davies
506,Harvey,Elliott,11,Harvey Elliott
553,Ben,Woodburn,11,Ben Woodburn
620,Tyler,Morton,11,Tyler Morton
625,Kaide,Gordon,11,Kaide Gordon
626,Conor,Bradley,11,Conor Bradley
627,Owen,Beck,11,Owen Beck
33,Jack,Grealish,12,Jack Grealish
249,Kyle,Walker,12,Kyle Walker
250,Ilkay,Gündogan,12,Ilkay Gündogan
251,Kevin,De Bruyne,12,Kevin De Bruyne
252,John,Stones,12,John Stones
253,Benjamin,Mendy,12,Benjamin Mendy
254,Riyad,Mahrez,12,Riyad Mahrez
255,Raheem,Sterling,12,Raheem Sterling
256,João Pedro Cavaco,Cancelo,12,João Pedro Cavaco Cancelo
257,Ederson,Santana de Moraes,12,Ederson Santana de Moraes
258,Nathan,Aké,12,Nathan Aké
259,Aymeric,Laporte,12,Aymeric Laporte
260,Zack,Steffen,12,Zack Steffen
261,Bernardo Mota,Veiga de Carvalho e Silva,12,Bernardo Mota Veiga de Carvalho e Silva
262,Rúben Santos,Gato Alves Dias,12,Rúben Santos Gato Alves Dias
263,Gabriel Fernando,de Jesus,12,Gabriel Fernando de Jesus
264,Oleksandr,Zinchenko,12,Oleksandr Zinchenko
265,Phil,Foden,12,Phil Foden
266,Rodrigo,Hernandez,12,Rodrigo Hernandez
268,Ferran,Torres,12,Ferran Torres
453,Fernando,Luiz Rosa,12,Fernando Luiz Rosa
507,Cole,Palmer,12,Cole Palmer
508,Samuel,Edozie,12,Samuel Edozie
566,Tommy,Doyle,12,Tommy Doyle
593,Scott,Carson,12,Scott Carson
603,Luke,Mbete,12,Luke Mbete
604,Joshua,Wilson-Esbrand,12,Joshua Wilson-Esbrand
605,Romeo,Lavia,12,Romeo Lavia
615,Cieran,Slicker,12,Cieran Slicker
629,James,McAtee,12,James McAtee
269,Edinson,Cavani,13,Edinson Cavani
270,David,de Gea,13,David de Gea
271,Nemanja,Matic,13,Nemanja Matic
272,Paul,Pogba,13,Paul Pogba
273,Harry,Maguire,13,Harry Maguire
274,Frederico,Rodrigues de Paula Santos,13,Frederico Rodrigues de Paula Santos
275,Luke,Shaw,13,Luke Shaw
276,Jesse,Lingard,13,Jesse Lingard
277,Bruno Miguel,Borges Fernandes,13,Bruno Miguel Borges Fernandes
278,Anthony,Martial,13,Anthony Martial
279,Alex Nicolao,Telles,13,Alex Nicolao Telles
280,Dean,Henderson,13,Dean Henderson
281,Marcus,Rashford,13,Marcus Rashford
282,Donny,van de Beek,13,Donny van de Beek
284,Victor,Lindelöf,13,Victor Lindelöf
285,Scott,McTominay,13,Scott McTominay
286,Eric,Bailly,13,Eric Bailly
288,Aaron,Wan-Bissaka,13,Aaron Wan-Bissaka
289,Mason,Greenwood,13,Mason Greenwood
459,Juan,Mata,13,Juan Mata
485,Jadon,Sancho,13,Jadon Sancho
509,Tom,Heaton,13,Tom Heaton
510,José Diogo,Dalot Teixeira,13,José Diogo Dalot Teixeira
511,Andreas,Pereira,13,Andreas Pereira
512,Anthony,Elanga,13,Anthony Elanga
555,Raphaël,Varane,13,Raphaël Varane
579,Cristiano Ronaldo,dos Santos Aveiro,13,Cristiano Ronaldo dos Santos Aveiro
632,Phil,Jones,13,Phil Jones
19,Joseph,Willock,14,Joseph Willock
291,Jonjo,Shelvey,14,Jonjo Shelvey
292,Matt,Ritchie,14,Matt Ritchie
293,Ciaran,Clark,14,Ciaran Clark
294,Karl,Darlow,14,Karl Darlow
295,Martin,Dubravka,14,Martin Dubravka
296,Callum,Wilson,14,Callum Wilson
297,Jeff,Hendrick,14,Jeff Hendrick
298,Ryan,Fraser,14,Ryan Fraser
299,Jamaal,Lascelles,14,Jamaal Lascelles
300,Dwight,Gayle,14,Dwight Gayle
301,Paul,Dummett,14,Paul Dummett
302,Javier,Manquillo,14,Javier Manquillo
303,Emil,Krafth,14,Emil Krafth
304,Jacob,Murphy,14,Jacob Murphy
305,Fabian,Schär,14,Fabian Schär
306,Isaac,Hayden,14,Isaac Hayden
307,Allan,Saint-Maximin,14,Allan Saint-Maximin
308,Miguel,Almirón,14,Miguel Almirón
309,Sean,Longstaff,14,Sean Longstaff
310,Joelinton Cássio,Apolinário de Lira,14,Joelinton Cássio Apolinário de Lira
311,Jamal,Lewis,14,Jamal Lewis
312,Matthew,Longstaff,14,Matthew Longstaff
465,Federico,Fernández,14,Federico Fernández
513,Freddie,Woodman,14,Freddie Woodman
514,Mark,Gillespie,14,Mark Gillespie
599,Joe,White,14,Joe White
609,Elliot,Anderson,14,Elliot Anderson
145,Billy,Gilmour,15,Billy Gilmour
290,Brandon,Williams,15,Brandon Williams
313,Michael,McGovern,15,Michael McGovern
314,Tim,Krul,15,Tim Krul
315,Teemu,Pukki,15,Teemu Pukki
316,Marco,Stiepermann,15,Marco Stiepermann
317,Lukas,Rupp,15,Lukas Rupp
318,Kenny,McLean,15,Kenny McLean
319,Grant,Hanley,15,Grant Hanley
320,Onel,Hernández,15,Onel Hernández
321,Sam,Byram,15,Sam Byram
322,Jordan,Hugill,15,Jordan Hugill
323,Kieran,Dowell,15,Kieran Dowell
324,Christoph,Zimmermann,15,Christoph Zimmermann
325,Todd,Cantwell,15,Todd Cantwell
326,Max,Aarons,15,Max Aarons
327,Jacob,Sørensen,15,Jacob Sørensen
328,Przemyslaw,Placheta,15,Przemyslaw Placheta
329,Adam,Idah,15,Adam Idah
330,Josh,Martin,15,Josh Martin
331,Andrew,Omobamidele,15,Andrew Omobamidele
448,Angus,Gunn,15,Angus Gunn
449,Milot,Rashica,15,Milot Rashica
456,Ben,Gibson,15,Ben Gibson
457,Dimitris,Giannoulis,15,Dimitris Giannoulis
471,Pierre,Lees-Melou,15,Pierre Lees-Melou
515,Bali,Mumba,15,Bali Mumba
516,Joshua,Sargent,15,Joshua Sargent
528,Christos,Tzolis,15,Christos Tzolis
580,Ozan,Kabak,15,Ozan Kabak
581,Mathias,Normann,15,Mathias Normann
332,Theo,Walcott,16,Theo Walcott
333,Fraser,Forster,16,Fraser Forster
334,Alex,McCarthy,16,Alex McCarthy
335,Oriol,Romeu Vidal,16,Oriol Romeu Vidal
336,Nathan,Redmond,16,Nathan Redmond
338,Jack,Stephens,16,Jack Stephens
339,Stuart,Armstrong,16,Stuart Armstrong
341,James,Ward-Prowse,16,James Ward-Prowse
342,Kyle,Walker-Peters,16,Kyle Walker-Peters
343,Jan,Bednarek,16,Jan Bednarek
344,Daniel,N'Lundulu,16,Daniel N'Lundulu
345,Che,Adams,16,Che Adams
346,Nathan,Tella,16,Nathan Tella
347,William,Smallbone,16,William Smallbone
348,Michael,Obafemi,16,Michael Obafemi
349,Ibrahima,Diallo,16,Ibrahima Diallo
350,Moussa,Djenepo,16,Moussa Djenepo
351,Mohammed,Salisu,16,Mohammed Salisu
460,Romain,Perraud,16,Romain Perraud
491,Tino,Livramento,16,Tino Livramento
517,Mohamed,Elyounoussi,16,Mohamed Elyounoussi
518,Armando,Broja,16,Armando Broja
519,Shane,Long,16,Shane Long
525,Adam,Armstrong,16,Adam Armstrong
546,Yan,Valery,16,Yan Valery
567,Lyanco Evangelista,Silveira Neves Vojnovic,16,Lyanco Evangelista Silveira Neves Vojnovic
352,Joe,Hart,17,Joe Hart
353,Hugo,Lloris,17,Hugo Lloris
355,Toby,Alderweireld,17,Toby Alderweireld
356,Erik,Lamela,17,Erik Lamela
357,Harry,Kane,17,Harry Kane
358,Serge,Aurier,17,Serge Aurier
359,Heung-Min,Son,17,Heung-Min Son
360,Matt,Doherty,17,Matt Doherty
361,Eric,Dier,17,Eric Dier
362,Lucas,Rodrigues Moura da Silva,17,Lucas Rodrigues Moura da Silva
363,Bamidele,Alli,17,Bamidele Alli
364,Ben,Davies,17,Ben Davies
365,Pierre-Emile,Højbjerg,17,Pierre-Emile Højbjerg
366,Harry,Winks,17,Harry Winks
367,Davinson,Sánchez,17,Davinson Sánchez
368,Ryan,Sessegnon,17,Ryan Sessegnon
369,Steven,Bergwijn,17,Steven Bergwijn
370,Sergio,Reguilón,17,Sergio Reguilón
371,Japhet,Tanganga,17,Japhet Tanganga
372,Giovani,Lo Celso,17,Giovani Lo Celso
373,Oliver,Skipp,17,Oliver Skipp
374,Joe,Rodon,17,Joe Rodon
375,Tanguy,Ndombele,17,Tanguy Ndombele
486,Pierluigi,Gollini,17,Pierluigi Gollini
487,Bryan,Gil Salvatierra,17,Bryan Gil Salvatierra
494,Cristian,Romero,17,Cristian Romero
520,Dane,Scarlett,17,Dane Scarlett
588,Emerson Aparecido,Leite de Souza Junior,17,Emerson Aparecido Leite de Souza Junior
597,Dilan,Markanday,17,Dilan Markanday
598,Tobi,Omole,17,Tobi Omole
354,Moussa,Sissoko,18,Moussa Sissoko
376,Ben,Foster,18,Ben Foster
377,Danny,Rose,18,Danny Rose
378,Dan,Gosling,18,Dan Gosling
379,Craig,Cathcart,18,Craig Cathcart
380,Troy,Deeney,18,Troy Deeney
381,Tom,Cleverley,18,Tom Cleverley
382,Francisco,Femenía Far,18,Francisco Femenía Far
383,Andre,Gray,18,Andre Gray
384,Christian,Kabasele,18,Christian Kabasele
385,Nathaniel,Chalobah,18,Nathaniel Chalobah
387,William,Troost-Ekong,18,William Troost-Ekong
388,Stipe,Perica,18,Stipe Perica
389,Daniel,Bachmann,18,Daniel Bachmann
390,Adam,Masina,18,Adam Masina
391,Ken,Sema,18,Ken Sema
392,Philip,Zinckernagel,18,Philip Zinckernagel
393,Isaac,Success Ajayi,18,Isaac Success Ajayi
394,Ayotomiwa,Dele-Bashiru,18,Ayotomiwa Dele-Bashiru
395,Ashley,Fletcher,18,Ashley Fletcher
396,Francisco,Sierralta,18,Francisco Sierralta
397,Domingos,Quina,18,Domingos Quina
398,Marc,Navarro,18,Marc Navarro
399,Ismaila,Sarr,18,Ismaila Sarr
400,Jeremy,Ngakia,18,Jeremy Ngakia
401,Ben,Wilmot,18,Ben Wilmot
402,Joseph,Hungbo,18,Joseph Hungbo
403,Imrân,Louza,18,Imrân Louza
404,João Pedro,Junqueira de Jesus,18,João Pedro Junqueira de Jesus
405,Kwadwo,Baah,18,Kwadwo Baah
450,Emmanuel,Dennis,18,Emmanuel Dennis
454,Matthew,Pollock,18,Matthew Pollock
467,Oghenekaro Peter,Etebo,18,Oghenekaro Peter Etebo
468,Joshua,King,18,Joshua King
469,Adedapo,Awokoya-Mebude,18,Adedapo Awokoya-Mebude
472,Juan Camilo,Hernández Suárez,18,Juan Camilo Hernández Suárez
495,Juraj,Kucka,18,Juraj Kucka
557,Ozan,Tufan,18,Ozan Tufan
574,Robert,Elliot,18,Robert Elliot
618,Nicolas,Nkoulou,18,Nicolas Nkoulou
633,James,Morris,18,James Morris
128,Kurt,Zouma,19,Kurt Zouma
406,Mark,Noble,19,Mark Noble
407,Darren,Randolph,19,Darren Randolph
408,Lukasz,Fabianski,19,Lukasz Fabianski
409,Angelo,Ogbonna,19,Angelo Ogbonna
410,Winston,Reid,19,Winston Reid
411,Aaron,Cresswell,19,Aaron Cresswell
412,Andriy,Yarmolenko,19,Andriy Yarmolenko
413,Michail,Antonio,19,Michail Antonio
414,Craig,Dawson,19,Craig Dawson
415,Ryan,Fredericks,19,Ryan Fredericks
416,Manuel,Lanzini,19,Manuel Lanzini
417,Arthur,Masuaku,19,Arthur Masuaku
418,Vladimir,Coufal,19,Vladimir Coufal
419,Saïd,Benrahma,19,Saïd Benrahma
420,Jarrod,Bowen,19,Jarrod Bowen
421,Declan,Rice,19,Declan Rice
422,Tomas,Soucek,19,Tomas Soucek
423,Pablo,Fornals,19,Pablo Fornals
424,Issa,Diop,19,Issa Diop
425,Ben,Johnson,19,Ben Johnson
489,Alphonse,Areola,19,Alphonse Areola
521,Frederik,Alves,19,Frederik Alves
522,Conor,Coventry,19,Conor Coventry
554,Jamal,Baptiste,19,Jamal Baptiste
582,Nikola,Vlasic,19,Nikola Vlasic
589,Alex,Kral,19,Alex Kral
617,Harrison,Ashby,19,Harrison Ashby
426,João Filipe Iria,Santos Moutinho,20,João Filipe Iria Santos Moutinho
427,Rui Pedro,dos Santos Patrício,20,Rui Pedro dos Santos Patrício
428,Willy,Boly,20,Willy Boly
429,Conor,Coady,20,Conor Coady
430,Raúl,Jiménez,20,Raúl Jiménez
431,Romain,Saïss,20,Romain Saïss
432,Fernando,Marçal,20,Fernando Marçal
433,Jonathan,Castro Otto,20,Jonathan Castro Otto
434,Leander,Dendoncker,20,Leander Dendoncker
435,Adama,Traoré,20,Adama Traoré
436,Rúben Diogo,da Silva Neves,20,Rúben Diogo da Silva Neves
437,Nélson,Cabral Semedo,20,Nélson Cabral Semedo
438,Daniel,Castelo Podence,20,Daniel Castelo Podence
439,Max,Kilman,20,Max Kilman
440,Morgan,Gibbs-White,20,Morgan Gibbs-White
441,Pedro,Lomba Neto,20,Pedro Lomba Neto
442,Owen,Otasowie,20,Owen Otasowie
443,Ki-Jana,Hoever,20,Ki-Jana Hoever
444,Andreas,Söndergaard,20,Andreas Söndergaard
445,Fabio,Silva,20,Fabio Silva
446,Yerson,Mosquera Valdelamar,20,Yerson Mosquera Valdelamar
452,John,Ruddy,20,John Ruddy
461,Francisco,Machado Mota de Castro Trincão,20,Francisco Machado Mota de Castro Trincão
470,Rayan,Ait Nouri,20,Rayan Ait Nouri
475,José,Malheiro de Sá,20,José Malheiro de Sá
523,Patrick,Cutrone,20,Patrick Cutrone
547,Luke,Cundle,20,Luke Cundle
548,Chem,Campbell,20,Chem Campbell
549,Christian,Marques,20,Christian Marques
583,Hee-Chan,Hwang,20,Hee-Chan Hwang
611,Louie,Moulden,20,Louie Moulden
621,James,Storer,20,James Storer
