Stadium,Town / City,Capacity,Club,Notes
Vitality Stadium,Bournemouth,11360,AFC Bournemouth,
Emirates Stadium,London,59867,Arsenal,
Falmer Stadium,Brighton,30666,Brighton & Hove Albion,Commercially known as The American Express Community Stadium (The AMEX).
The American Express Community Stadium,Brighton,30666,Brighton & Hove Albion
Turf Moor,Burnley,21944,Burnley
Stamford Bridge,London,41631,Chelsea
Selhurst Park Stadium,London,26074,Crystal Palace
Goodison Park,Liverpool,39595,Everton
The John Smith's Stadium,Huddersfield,24169,Huddersfield Town
King Power Stadium,Leicester,32273,Leicester City
Anfield,Liverpool,53394,Liverpool
Etihad Stadium,Manchester,55017,Manchester City
Old Trafford,Manchester,74994,Manchester United
St James Park,Newcastle,52354,Newcastle United
St Mary's Stadium,Southampton,32384,Southampton
St bet365 Stadium,Stoke-on-Trent,30089,Stoke City
Liberty Stadium,Swansea,21088,Swansea City
Wembley Stadium,London,90000,Tottenham Hotspur
Vicarage Road Stadium,Watford,21000,Watford
The Hawthorns,West Bromwich,26688,West Bromwich Albion
London Stadium,London,60000,West Ham United